,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
2966,2966,3193,AAHHwQE+hcpJPVNYYoxGF7iQ,공과대학,공학,2,정원내신입학,졸업,건축학과,건축계획학전공,AAERRXn4gTa1H1Bj8Jwtb83Q,korean,석사과정,2020,1R,19941111,2020,1R,4.31,4,33.2,47,타교,,2000000,83333
2967,2967,3194,AAExIz2E3HwX7hbQ/WQIlbPb,공과대학,공학,1,정원내신입학,졸업,건축학과,건축계획학전공,AAERRXn4gTa1H1Bj8Jwtb83Q,korean,석사과정,2020,1R,19930611,2020,1R,4.28,4,30.93,55,타교,,2000000,83333
2977,2977,3204,AAGUa/M0qtcCwTnWkrdkHFqT,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAGA1IrRNou8lBL6ymzDNYzH,korean,석사과정,2019,2R,19920417,2019,2R,3.69,4,45.5,46,타교,,21600000,900000
2983,2983,3210,AAER8i2kH6C5Won93eed0wky,공과대학,공학,2,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGXlfpkTlt2jDHcvujVd5hy,korean,석사과정,2019,2R,19940105,2019,2R,4.14,4,51.67,36.33,타교,,35370000,1473750
2984,2984,3211,AAEKemVaV2Ep1P7659Yb/kTg,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석사과정,2019,2R,19891216,2019,2R,4.32,4,55.67,38.33,자교,,8836000,368167
2995,2995,3223,AAHr9YYVre8Hp63GC/ky/u0K,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAHnXim9e1JoSxJhPUZ6r+Y+,korean,석사과정,2019,2R,19921107,2019,2R,4.31,4,47,47.5,타교,,39995701,1666488
2996,2996,3224,AAElXGX17eDohyw+xbYK4b/j,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAElfTryCRLMwatXSF2OJTwW,korean,석사과정,2019,2R,19810302,2019,2R,4.31,4,45,45.5,타교,,,0
2997,2997,3225,AAHb36koEy+HVyk0T8zV6GYA,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAFsSXjLr7pE02FUjiD8u0rv,korean,석사과정,2019,2R,19930820,2019,2R,4.25,4,49,49,자교,,14800000,616667
2998,2998,3226,AAGWKVH+Qe6FBQTknH2wUtON,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAGMlJxfOORPzbzO8WPFu09N,korean,석사과정,2019,2R,19940119,2019,2R,4.19,4,46,46.5,자교,,50000000,2083333
2999,2999,3227,AAEthDZ3jSvTJFf8I4+ZDpNv,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAFZhxnfhD7uvw5/71PG38pz,korean,석사과정,2019,2R,19940809,2019,2R,4.19,4,45,48,자교,,32430000,1351250
3000,3000,3228,AAGWfjrLIsEps45OCtIDhHfP,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGcoq+H8FFez0FhSoCIP7Pb,korean,석사과정,2019,2R,19930910,2019,2R,4.14,4,54,38,자교,,11000000,458333
3001,3001,3229,AAG2pZLD0Gtbia0nYy2DRf/m,공과대학,공학,2,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAHbfpe13iYQFP6H7+l+dBws,korean,석사과정,2019,2R,19940704,2019,2R,4.44,4,58.33,39.67,타교,,,0
3002,3002,3230,AAEbEWS1KdgWnApx00klQ0Ri,공과대학,공학,2,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAGWn8vhtNMlkrJTHrGGXO3e,korean,석사과정,2019,2R,19940311,2019,2R,4.26,4,57,39,타교,,,0
