,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
77,77,536,AAEoAm5VJNXaJqCk4TU8yDs/,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAHtjVpi/adGnjoH4gqGkXR+,korean,박사과정,2017,1R,19870424,2020,1R,4,10,57,40,자교,자교,,0
78,78,549,AAGAcsQm0bFREK6LxD5KWdcK,공과대학,공학,1,학연산협동과정,졸업,신소재공학과,신소재공학전공,AAF1qK1VjAd7Et0WDMAYCWmi,korean,박사과정,2017,1R,19881014,2020,1R,4.04,10,57,36,타교,자교,,0
82,82,853,AAHzHZID+t24JWbIMd737R73,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGcoq+H8FFez0FhSoCIP7Pb,korean,박사과정,2017,1R,19820324,2017,1R,3.61,4,50,32.5,자교,자교,44900000,1870833
93,93,1372,AAFHO5lI58jtJgzechM4fFI9,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAEHg8p6bzn6NXD+rJOua9mz,korean,박사과정,2017,2R,19750528,2018,1R,4,5,45.67,44.33,타교,자교,,0
98,100,1618,AAFmqmEJtNAqa67/nbhibytm,공과대학,공학,2,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAEO/gtHQWIcfBMM1FcwKmjM,korean,박사과정,2017,1R,19861223,2017,2R,4.16,5,46.67,46.67,자교,타교,22725249,757508
105,107,1843,AAHPksbr2HDyRAAVrDf5oFt1,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAF1qK1VjAd7Et0WDMAYCWmi,korean,박사과정,2017,1R,19861226,2018,2R,4.21,7,58,40,타교,자교,75150000,1789286
128,130,2138,AAEfO4KyzLEOT+/ol3ccCK8e,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,박사과정,2017,1R,19841003,2018,1R,4.13,6,44,45,타교,타교,14177000,393806
142,144,2344,AAFxBPM7Xuz53i4zyYHCsrc8,공과대학,공학,2,학연산협동과정,졸업,신소재공학과,신소재공학전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,박사과정,2018,1R,19881006,2019,1R,3.46,7,57,39,타교,타교,,0
143,145,2370,AAENGW6c9IjV0YjaoyewDmf+,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAF5ukSjmVhKqW326vTF81ef,korean,박사과정,2017,1R,19751007,2019,1R,4.17,8,42.67,42.67,타교,자교,,0
144,146,2371,AAGMYWVgZ2aP4qorwbvg1mZ2,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFD3xbYP2/G9DXqA0Ck4KRi,korean,박사과정,2017,1R,19810106,2019,1R,4.21,8,44.33,46.67,타교,타교,,0
148,150,2411,AAGSE5BSE1Nho52SPoKGBhOM,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAF4pNgCtw8Vp1PBSri//9b6,korean,박사과정,2017,1R,19830210,2019,1R,3.54,8,57,39,타교,자교,,0
151,153,2492,AAFO2oCrpqd8USJpG3VLN0oL,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAEClPAQjORZKayEf40sZEcD,korean,박사과정,2018,1R,19841002,2019,1R,4.38,6,47,48,타교,자교,1000000,27778
154,156,2560,AAGxIxnUsdtnhrKZnU7iGcFA,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,전기에너지,AAGDGLl29YC1WZ2udO/Jhl+/,korean,박사과정,2017,2R,19800220,2019,1R,3.92,8,48,49,자교,자교,,0
